gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	timepoint	regulation
YBR054W	250.705072210387	2.41000894002304	0.183620479550591	13.1249463345348	2.3695055500904e-39	2.0319887711531e-38	45	up
YOR027W	22349.0844968372	2.33692227849506	0.0530438098011158	44.0564561116028	0.0	0.0	45	up
YDR258C	7748.53016069322	2.19464583709053	0.0530125814522377	41.3985845806777	0.0	0.0	45	up
YLL026W	18082.3336423594	2.17675051777454	0.0490836969133653	44.3477295855809	0.0	0.0	45	up
YBR101C	5328.23480573266	2.10578312613398	0.0564463238489928	37.3059392099199	1.31476371606745e-304	1.19340091150738e-302	45	up
YDR339C	1751.39490330394	2.05704892888461	0.0779011773943129	26.4058772625788	1.17296555622419e-153	5.53639742537819e-152	45	up
YBR092C	943.111313933018	2.03085132054563	0.0970534256259569	20.9250864402511	3.1649007950570303e-97	8.08351285317596e-96	45	up
YOR385W	1166.93041106603	1.9994667524422	0.0885143025215291	22.5891940113958	5.53482103431311e-113	1.7097091153113803e-111	45	up
YFR053C	2973.83757215116	1.98147530745033	0.0709726730626693	27.9188485080824	1.57558661863084e-171	8.299965223144601e-170	45	up
YOR020C	3971.78581522918	1.9757555540637	0.0598316627138705	33.0219062022769	3.93855982057553e-239	2.83384182212142e-237	45	up
YLL009C	660.226030502334	1.96937883345255	0.111098992108756	17.7263429313986	2.62567745854967e-70	4.4644083589173096e-69	45	up
YKL120W	1464.94258625991	1.95319893208132	0.083333463280822	23.4383506359182	1.73790251465093e-121	6.103348116928871e-120	45	up
YPL106C	26466.4926572634	1.95172417331215	0.0450195369224117	43.3528265000998	0.0	0.0	45	up
YNL058C	3064.34609761895	1.94358388982307	0.0648789224160735	29.9570926495776	3.55691870428238e-197	2.1634866345635098e-195	45	up
YNL141W	886.770162143293	1.93974394094687	0.0979320958829902	19.807029794037	2.58914391032269e-87	5.6999809966059296e-86	45	up
YMR290C	2279.77264273238	1.92251593632183	0.0695906637922886	27.6260611920598	5.41303640945182e-168	2.8262756474129e-166	45	up
YNR077C	3.1963553104881	-4.98906990013017	1.88613563747915	-2.64512784817434	0.008166005719818	0.0122812729408428	45	down
YFL055W	1924.70209827049	-4.8934631673858	0.119467251058343	-40.9607078428214	0.0	0.0	45	down
YJL136W-A	6.83241263192061	-4.58429852713429	1.6627558093376	-2.75704857044557	0.0058325687168821	0.0089568337921928	45	down
YDL022C-A	2.28311093606293	-4.50364297782775	2.03909291577015	-2.20865020078144	0.0271989807282041	0.0382901422802204	45	down
YPL054W	1215.4690320113	-4.48485063339216	0.135085355369923	-33.2001246257277	1.07210034021585e-241	7.809125934905541e-240	45	down
YFR030W	20217.3736647746	-4.21328736184822	0.0557482904608127	-75.576978720269	0.0	0.0	45	down
YLL061W	3169.92570322049	-4.16026764740814	0.0866977639977538	-47.9858701721065	0.0	0.0	45	down
YJL028W	5.10745396333032	-4.13865934056147	1.72798439604762	-2.39507911647103	0.0166167793266481	0.0241119031055642	45	down
YLL062C	1520.5760750678	-4.12682340205855	0.112063284773632	-36.8258293552142	7.12914920803566e-297	6.2779075115537895e-295	45	down
YOL163W	426.758275184633	-3.99607092938758	0.188184511333536	-21.2348556269065	4.55088493062156e-100	1.1933431595852101e-98	45	down
YOR105W	4.60109215092823	-3.98634214463785	1.74894798438404	-2.27927999016037	0.0226504267296137	0.0322173379230282	45	down
YOL162W	144.155092751913	-3.90399001924754	0.310641277124401	-12.5675185712172	3.1856638123348e-36	2.49939049106055e-35	45	down
YKL001C	7977.75111781804	-3.86430004004259	0.0613576367520566	-62.9799360698661	0.0	0.0	45	down
YPL038W-A	8.32417525544079	-3.82867318536921	1.25806777486404	-3.04329644385254	0.0023400169243474	0.0037618800691144	45	down
YPL223C	1423.40517943969	-3.81143041942275	0.10901795346455	-34.9614930229097	8.66206077170176e-268	7.19805050042822e-266	45	down
YFL014W	42123.1158061832	-3.78856332612776	0.0488797546989856	-77.5078219900803	0.0	0.0	45	down
YKL201C	4137.55898186886	-3.71258810747806	0.0698419313736208	-53.1570080388742	0.0	0.0	45	down
YKR069W	6211.30576707353	-3.68899860543864	0.0641785965381602	-57.4802006342595	0.0	0.0	45	down
YOL164W	3613.76161895879	-3.65996481916813	0.0762194152411168	-48.0187995091538	0.0	0.0	45	down
YLR303W	31332.4224176749	-3.54847016602236	0.0484323054702921	-73.2665961606753	0.0	0.0	45	down
YIL074C	8599.08876073359	-3.51596127273855	0.0608770576095012	-57.755111873045	0.0	0.0	45	down
YOL024W	13.4002047453229	-3.4893689313542	0.929557024903236	-3.75379760237672	0.0001741755191385	0.0003161955578207	45	down
YHR176W	1331.18781157304	-3.44969769257039	0.102540358953853	-33.642340711162	4.0353798392868e-248	3.0137646901002697e-246	45	down
YDL059C	2068.82658198919	-3.39910354609485	0.0858169795825563	-39.608752983725	0.0	0.0	45	down
YML047C	2.43697068470913	4.59524242808889	2.02125954517054	2.273454905417	0.0229987806611493	0.0360179948729941	120	up
YBR072C-A	5.12185684720254	4.14534805926671	1.7192643424587	2.41111733483548	0.0159037310827159	0.0256345034469015	120	up
YAL065C	22.8662811079032	2.56278693785969	0.62441580216791	4.1042954533853	4.0554890645459e-05	9.50792251485315e-05	120	up
YAR068W	18.7475147383001	2.52431133436391	0.691450586657535	3.65074725956399	0.0002614784487016	0.0005496916016347	120	up
YOL103W-B	60.1682939541752	2.40034344078028	0.381923366265712	6.28488239473232	3.28101973936235e-10	1.2950700656841e-09	120	up
YER160C	20.8313438793674	2.13292589462307	0.613571495761267	3.47624671184688	0.0005084842860851	0.0010282953297424	120	up
YGR249W	1098.11741998709	2.10599355810409	0.112291249287568	18.7547433256427	1.77070455457545e-78	8.495063070365639e-77	120	up
YDR515W	906.102733850169	2.06309543025112	0.119548158183765	17.2574422023282	9.83729427861517e-67	3.7211457396223203e-65	120	up
YGR286C	2531.42102123386	2.0424636927304	0.0876820876085053	23.2939674275305	5.10352561440602e-120	5.01931744176832e-118	120	up
YKL096C-B	4.01293588480324	-5.59481876678006	1.83815030532132	-3.04372213228888	0.0023367085993275	0.0042743079493588	120	down
YNL146C-A	2.53006599759095	-4.91505024931505	2.02651819294427	-2.42536695028339	0.0152929202360735	0.0247174807759709	120	down
YLR302C	2.13570267683176	-4.68553716352609	2.12141562635842	-2.20868419432226	0.027196614555437	0.0421115776677077	120	down
YGL041C-B	4.02637373154116	-4.09233607480387	1.7800952839841	-2.29894214743643	0.0215082246589945	0.0338273010961425	120	down
YKL097C	17.3122435839418	-3.81126177116693	0.83928825228191	-4.54106412285008	5.59710035931799e-06	1.45756792675796e-05	120	down
YDL182W	11672.3585788579	-3.29455602946443	0.0953071417791604	-34.5677770622727	7.70708799577271e-262	3.03196841753698e-259	120	down
YNL142W	8494.15771099336	-3.21216214366177	0.107184362383518	-29.9685707152717	2.5208523009732302e-197	5.950219771217219e-195	120	down
YNR050C	14015.7514577476	-3.14775553326097	0.0740135532782512	-42.5294475651925	0.0	0.0	120	down
YDL131W	7144.92059818263	-3.12141477449579	0.0858846681026797	-36.3442607796303	3.23769863948456e-289	1.73687815196349e-286	120	down
YOR032W-A	12.3870651507282	-3.01860499611052	0.855013044092553	-3.53047829733901	0.0004148090448086	0.0008499264491027	120	down
YNL042W-B	7.88388342400953	-2.93879705153552	1.06623538867783	-2.75623664599965	0.0058470676763036	0.0101005697768934	120	down
YFR032C-B	62.3824371855511	-2.93814558079395	0.386304696926507	-7.60577234543158	2.8320743375771202e-14	1.47372757196143e-13	120	down
YDR384C	487.054817686475	-2.91247564897427	0.160177915790841	-18.1827540619105	7.06926966681678e-74	3.09005631880636e-72	120	down
YHR213W-B	27.1024186987308	-2.89396068999993	0.579313520722172	-4.99549999522248	5.86835253699517e-07	1.72284320004022e-06	120	down
YIL102C	9.24429730606084	-2.85872694419979	0.970511558370061	-2.94558773622533	0.0032234171541855	0.0057675514332471	120	down
YOL140W	2268.90120406278	-2.85794764900359	0.101190883864869	-28.2431335694242	1.72841171590612e-175	2.99981103987119e-173	120	down
YLR174W	393.175862375686	-2.83012741680553	0.165867449066218	-17.062584809366	2.81805124349528e-65	1.0393325242416e-63	120	down
YAL064W	8.02719489376491	3.81849711873728	1.2475775926712	3.06072916119105	0.0022079872263229	0.0040974747238959	200	up
YCL069W	6.86193478296199	3.57177493321186	1.28249785764851	2.785014346738	0.0053525354738179	0.0093983710891748	200	up
YBR019C	26.2551130383766	3.34650551820706	0.62763922732532	5.33189350268652	9.71939365141547e-08	2.9892197662296e-07	200	up
YIL029C	87.2429487475041	2.74386737977465	0.322262443638912	8.51438767977907	1.67472858933207e-17	1.07734253870635e-16	200	up
YJL213W	598.775817804135	2.62642901762798	0.144293879315368	18.2019433540052	4.98089882016527e-74	2.17868203948711e-72	200	up
YOL104C	102.603914222604	2.58528442511762	0.291885234371099	8.85719495433854	8.205296306994381e-19	5.64054420172314e-18	200	up
YHR022C-A	8.56930321846495	2.47420059722846	0.943798287066485	2.62153537586805	0.0087534677125246	0.0148831635020035	200	up
YBR005W	2939.08283511088	2.37069063604583	0.0963259948283772	24.6111201889964	9.603715411913329e-134	1.0905757597566999e-131	200	up
YDR446W	37.3710621236587	2.36921327021161	0.460428787903198	5.14566710956771	2.66571776273544e-07	7.91008210500139e-07	200	up
YER143W	3647.69577153334	2.34919436156246	0.0947209829924634	24.8012033590211	8.70089500760943e-136	1.16769965954395e-133	200	up
YOL126C	3698.6637931947	2.28429339656652	0.0924672635333261	24.703806615227	9.733526595281129e-135	1.19742655302365e-132	200	up
YMR272W-B	2.54543502841259	-4.87374724807834	1.97075866869558	-2.47303098319198	0.0133972527538412	0.0220222681104824	200	down
YLR406C-A	2.46931532062744	-4.80806651751273	2.03121654149714	-2.36708712206965	0.0179287118152752	0.0286674907308964	200	down
YBR200W-A	5.1902276825267	-4.41126119103624	1.65409137967893	-2.66687877418991	0.0076559281534193	0.0131152468076418	200	down
YDR502C	19767.1688347957	-3.41290900609042	0.0975658822427246	-34.9805580356438	4.4445798100174397e-268	2.6245243778153e-265	200	down
YDR010C	21.6026752853677	-3.39811008594593	0.67751986466808	-5.0155135858794	5.28919867384325e-07	1.52429078423838e-06	200	down
YJR061W	1253.7937952366	-3.32610342344908	0.131152284474757	-25.3606213324424	6.86192638484856e-142	1.09512635952786e-139	200	down
YLR162W	12.3955798088191	-3.23190616953282	0.873688237632749	-3.6991526614684	0.0002163204618739	0.0004677306215179	200	down
YJL142C	7.01534608393098	-3.2308300896145	1.16952048712798	-2.76252543258009	0.0057356093121824	0.0100322194870964	200	down
YJL052C-A	4.67689738928732	-3.22888504405987	1.41847009863181	-2.27631519844818	0.0228271511020821	0.0358019461508087	200	down
YLL053C	287.796836901586	-2.9195669213181	0.208378239419133	-14.0109011836196	1.33697588923689e-44	2.5884729921127298e-43	200	down
YOL124C	1163.95939048641	-2.9071607781143	0.128766983006766	-22.5769114895047	7.30805995095788e-113	6.6390913862163506e-111	200	down
YFL034C-A	657.748760970426	-2.88578513135886	0.153710086154162	-18.7742080143302	1.22764946577984e-78	5.942024668385189e-77	200	down
YHL033C	6724.27734187524	-2.85001049403523	0.0963511858223866	-29.5794023675944	2.75056501445138e-192	7.73432686206448e-190	200	down
YOR314W	5.71394366702695	-2.78432301994409	1.18778925752532	-2.34412207578392	0.019071927905981	0.0303639078686487	200	down
YNL301C	1724.45976653354	-2.70706981404444	0.121472824981004	-22.2853944037918	5.1203971622102804e-110	4.38202104968865e-108	200	down
YLR308W	5.11559819943491	-2.66839644153386	1.22596466400434	-2.17656880322972	0.029512754935946	0.0452891938401146	200	down
YBR291C	1154.11988518791	-2.63510249730404	0.121200241366912	-21.7417264816061	8.272779081331761e-105	6.691884996611509e-103	200	down
YFL031W	23143.4962420755	-2.63329534866381	0.084045544116746	-31.3317663219117	1.72385774305173e-215	6.3621124829503e-213	200	down
